
#ALUMNO: ANGEL, GINER VIDAL
#EJERCICIO 3.8


Para un valor de 0.0000001 como distancia mínima de desplazamiento antes de considerarse la k como solución, obtenemos 2 k:

k= 0.49999999999999956, con un máximo de 2 iteraciones, se detiene el punto (0.9999999999999982, 1.0)

('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 174, ' Punto(', 0.9998114447933636, 0.9996153522441895)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 175, ' Punto(', 0.9998114914658642, 0.9996154474463057)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 176, ' Punto(', 0.9998115378616897, 0.9996155420840668)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 177, ' Punto(', 0.9998115839840341, 0.9996156361639879)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 178, ' Punto(', 0.9998116298360368, 0.9996157296924726)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 179, ' Punto(', 0.9998116754207836, 0.9996158226758157)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 180, ' Punto(', 0.9998117207413088, 0.9996159151202056)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 181, ' Punto(', 0.9998117658005948, 0.9996160070317265)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 182, ' Punto(', 0.9998118106015748, 0.9996160984163609)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 183, ' Punto(', 0.9998118551471329, 0.999616189279992)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 184, ' Punto(', 0.9998118994401055, 0.9996162796284054)
('Valor de k: ', 0.10999999999999924, 'Iteracion: ', 185, ' Punto(', 0.9998119434832826, 0.9996163694672917)
('Valor de k: ', 0.10999999999999924, ' Punto(', 0.9998119434832826, 0.9996163694672917)

